i,j,ux,uy,phase
4,43,-1.5934e-06,-2.4579e-06,-1
4,44,-1.62783e-06,-2.06967e-06,-1
4,45,-1.65347e-06,-1.69286e-06,-1
4,46,-1.67133e-06,-1.32986e-06,-1
4,47,-1.68281e-06,-9.81279e-07,-1
4,48,-1.68949e-06,-6.45786e-07,-1
4,49,-1.69281e-06,-3.20219e-07,-1
4,50,-1.69379e-06,-1.19474e-14,-1
4,51,-1.69281e-06,3.20219e-07,-1
4,52,-1.68949e-06,6.45786e-07,-1
4,53,-1.68281e-06,9.81279e-07,-1
4,54,-1.67133e-06,1.32986e-06,-1
4,55,-1.65347e-06,1.69286e-06,-1
4,56,-1.62783e-06,2.06967e-06,-1
4,57,-1.5934e-06,2.4579e-06,-1
4,58,-1.54967e-06,2.8537e-06,-1
4,59,-1.49661e-06,3.25224e-06,-1
4,60,-1.43458e-06,3.6482e-06,-1
4,61,-1.36411e-06,4.03619e-06,-1
4,62,-1.28578e-06,4.411e-06,-1
4,63,-1.20001e-06,4.76784e-06,-1
4,64,-1.10702e-06,5.10237e-06,-1
4,65,-1.00673e-06,5.41066e-06,-1
4,66,-8.98832e-07,5.68917e-06,-1
4,67,-7.82785e-07,5.93461e-06,-1
4,68,-6.57955e-07,6.14385e-06,-1
4,69,-5.23708e-07,6.31388e-06,-1
4,70,-3.79549e-07,6.44177e-06,-1
4,71,-2.25245e-07,6.52468e-06,-1
4,72,-6.09497e-08,6.55996e-06,-1
4,73,1.12686e-07,6.54519e-06,-1
4,74,2.94421e-07,6.47836e-06,-1
4,75,4.82341e-07,6.35802e-06,-1
4,76,6.738e-07,6.18347e-06,-1
4,77,8.65383e-07,5.95498e-06,-1
4,78,1.05292e-06,5.67406e-06,-1
4,79,1.23153e-06,5.3436e-06,-1
4,80,1.39582e-06,4.9681e-06,-1
4,81,1.54009e-06,4.55373e-06,-1
4,82,1.65866e-06,4.10826e-06,-1
4,83,1.74629e-06,3.64096e-06,-1
4,84,1.79861e-06,3.16218e-06,-1
4,85,1.81251e-06,2.68303e-06,-1
4,86,1.78647e-06,2.21476e-06,-1
4,87,1.72085e-06,1.76828e-06,-1
4,88,1.61789e-06,1.35356e-06,-1
4,89,1.48173e-06,9.79202e-07,-1
4,90,1.31818e-06,6.52014e-07,-1
4,91,1.13438e-06,3.76768e-07,-1
4,92,9.38474e-07,1.56043e-07,-1
4,93,7.39088e-07,-9.79426e-09,-1
4,94,5.44952e-07,-1.22512e-07,-1
4,95,3.6446e-07,-1.85851e-07,-1
4,96,2.05304e-07,-2.05304e-07,-1
4,97,7.41643e-08,-1.87848e-07,-1
4,98,-2.35282e-08,-1.4166e-07,-1
4,99,-8.37755e-08,-7.58185e-08,-1
5,0,-2.00179e-07,-4.28828e-15,-1
5,1,-1.74874e-07,1.15072e-07,-1
5,2,-9.99103e-08,2.20435e-07,-1
5,3,2.18814e-08,3.06588e-07,-1
5,4,1.85851e-07,3.6446e-07,-1
5,5,3.85642e-07,3.85642e-07,-1
5,6,6.13362e-07,3.62643e-07,-1
5,7,8.5983e-07,2.89172e-07,-1
5,8,1.11489e-06,1.60422e-07,-1
5,9,1.36783e-06,-2.66464e-08,-1
5,10,1.60784e-06,-2.73048e-07,-1
5,11,1.82453e-06,-5.77572e-07,-1
5,12,2.0085e-06,-9.36672e-07,-1
5,13,2.15185e-06,-1.34447e-06,-1
5,14,2.24864e-06,-1.79291e-06,-1
5,15,2.29519e-06,-2.27205e-06,-1
5,16,2.29028e-06,-2.77049e-06,-1
5,17,2.2351e-06,-3.27599e-06,-1
5,18,2.13305e-06,-3.77603e-06,-1
5,19,1.98934e-06,-4.2585e-06,-1
5,20,1.8105e-06,-4.71228e-06,-1
5,21,1.60379e-06,-5.12769e-06,-1
5,22,1.37668e-06,-5.49683e-06,-1
5,23,1.13632e-06,-5.81367e-06,-1
5,24,8.89229e-07,-6.07407e-06,-1
5,25,6.41023e-07,-6.27555e-06,-1
5,26,3.96315e-07,-6.41713e-06,-1
5,27,1.58702e-07,-6.49899e-06,-1
5,28,-6.91718e-08,-6.52227e-06,-1
5,29,-2.85528e-07,-6.48878e-06,-1
5,30,-4.89331e-07,-6.40088e-06,-1
5,31,-6.80153e-07,-6.26132e-06,-1
5,32,-8.58023e-07,-6.07318e-06,-1
5,33,-1.02326e-06,-5.83978e-06,-1
5,34,-1.17632e-06,-5.56476e-06,-1
5,35,-1.31756e-06,-5.25208e-06,-1
5,36,-1.44717e-06,-4.90619e-06,-1
5,37,-1.56499e-06,-4.53211e-06,-1
5,38,-1.67052e-06,-4.13557e-06,-1
5,39,-1.76293e-06,-3.72313e-06,-1
5,40,-1.8412e-06,-3.30213e-06,-1
5,41,-1.90438e-06,-2.88054e-06,-1
5,42,-1.95188e-06,-2.46658e-06,-1
5,43,-1.98378e-06,-2.06821e-06,-1
5,44,-2.00116e-06,-1.69235e-06,-1
5,45,-2.0062e-06,-1.34414e-06,-1
5,46,-2.0021e-06,-1.02616e-06,-1
5,47,-1.99281e-06,-7.37916e-07,-1
5,48,-1.98242e-06,-4.75676e-07,-1
5,49,-1.97452e-06,-2.32709e-07,-1
5,50,-1.9716e-06,-1.13358e-14,-1
5,51,-1.97452e-06,2.32709e-07,-1
5,52,-1.98242e-06,4.75676e-07,-1
5,53,-1.99281e-06,7.37916e-07,-1
5,54,-2.0021e-06,1.02616e-06,-1
5,55,-2.0062e-06,1.34414e-06,-1
5,56,-2.00116e-06,1.69235e-06,-1
5,57,-1.98378e-06,2.06821e-06,-1
5,58,-1.95188e-06,2.46658e-06,-1
5,59,-1.90438e-06,2.88054e-06,-1
5,60,-1.8412e-06,3.30213e-06,-1
5,61,-1.76293e-06,3.72313e-06,-1
5,62,-1.67052e-06,4.13557e-06,-1
5,63,-1.56499e-06,4.53211e-06,-1
5,64,-1.44717e-06,4.90619e-06,-1
5,65,-1.31756e-06,5.25208e-06,-1
5,66,-1.17632e-06,5.56476e-06,-1
5,67,-1.02326e-06,5.83978e-06,-1
5,68,-8.58023e-07,6.07318e-06,-1
5,69,-6.80153e-07,6.26132e-06,-1
5,70,-4.89331e-07,6.40088e-06,-1
5,71,-2.85528e-07,6.48878e-06,-1
5,72,-6.91718e-08,6.52227e-06,-1
5,73,1.58702e-07,6.49899e-06,-1
5,74,3.96315e-07,6.41713e-06,-1
5,75,6.41023e-07,6.27555e-06,-1
5,76,8.89229e-07,6.07407e-06,-1
5,77,1.13632e-06,5.81367e-06,-1
5,78,1.37668e-06,5.49683e-06,-1
5,79,1.60379e-06,5.12769e-06,-1
5,80,1.8105e-06,4.71228e-06,-1
